name,value,year,lastValue,rank,
seo,9479,Jan-04,9479,2,Jan-04
seo,18096,Feb-04,9479,2,
seo,27575,Mar-04,18096,2,
seo,36192,Apr-04,27575,2,
seo,47394,May-04,36192,2,
seo,56873,Jun-04,47394,2,
seo,66352,Jul-04,56873,2,
seo,76692,Aug-04,66352,2,
seo,89618,Sep-04,76692,2,
seo,106852,Oct-04,89618,2,
seo,118054,Nov-04,106852,2,
seo,128394,Dec-04,118054,2,
seo,140458,Jan-05,128394,2,
seo,152522,Feb-05,140458,2,
seo,164586,Mar-05,152522,2,
seo,179235,Apr-05,164586,2,
seo,193022,May-05,179235,2,
seo,205948,Jun-05,193022,2,
seo,220597,Jul-05,205948,2,
seo,236108,Aug-05,220597,2,
seo,251619,Sep-05,236108,2,
seo,269715,Oct-05,251619,2,
seo,282641,Nov-05,269715,2,
seo,296428,Dec-05,282641,2,
seo,312800,Jan-06,296428,2,
seo,330034,Feb-06,312800,2,
seo,348991,Mar-06,330034,2,
seo,361917,Apr-06,348991,2,
seo,380874,May-06,361917,2,
seo,397246,Jun-06,380874,2,
seo,412757,Jul-06,397246,2,
seo,430853,Aug-06,412757,2,
seo,452396,Sep-06,430853,2,
seo,472215,Oct-06,452396,2,
seo,494619,Nov-06,472215,2,
seo,510130,Dec-06,494619,2,
seo,533396,Jan-07,510130,2,
seo,554077,Feb-07,533396,2,
seo,578205,Mar-07,554077,2,
seo,599748,Apr-07,578205,2,
seo,622152,May-07,599748,2,
seo,647141,Jun-07,622152,1,
seo,671269,Jul-07,647141,1,
seo,697982,Aug-07,671269,1,
seo,722971,Sep-07,697982,1,
seo,748822,Oct-07,722971,1,
seo,776396,Nov-07,748822,1,
seo,798800,Dec-07,776396,1,
seo,828960,Jan-08,798800,1,
seo,854811,Feb-08,828960,1,
seo,882385,Mar-08,854811,1,
seo,913406,Apr-08,882385,1,
seo,941842,May-08,913406,1,
seo,971140,Jun-08,941842,1,
seo,1001300,Jul-08,971140,1,
seo,1033183,Aug-08,1001300,1,
seo,1063343,Sep-08,1033183,1,
seo,1094364,Oct-08,1063343,1,
seo,1127970,Nov-08,1094364,1,
seo,1155544,Dec-08,1127970,1,
seo,1185704,Jan-09,1155544,1,
seo,1218449,Feb-09,1185704,1,
seo,1250332,Mar-09,1218449,1,
seo,1283938,Apr-09,1250332,1,
seo,1314098,May-09,1283938,1,
seo,1345119,Jun-09,1314098,1,
seo,1377864,Jul-09,1345119,1,
seo,1411470,Aug-09,1377864,1,
seo,1445076,Sep-09,1411470,1,
seo,1480406,Oct-09,1445076,1,
seo,1514012,Nov-09,1480406,1,
seo,1541586,Dec-09,1514012,1,
seo,1573469,Jan-10,1541586,1,
seo,1610522,Feb-10,1573469,1,
seo,1647575,Mar-10,1610522,1,
seo,1680320,Apr-10,1647575,1,
seo,1711341,May-10,1680320,1,
seo,1746671,Jun-10,1711341,1,
seo,1782001,Jul-10,1746671,1,
seo,1818192,Aug-10,1782001,1,
seo,1853522,Sep-10,1818192,1,
seo,1892299,Oct-10,1853522,1,
seo,1929352,Nov-10,1892299,1,
seo,1960373,Dec-10,1929352,1,
seo,1999150,Jan-11,1960373,1,
seo,2042235,Feb-11,1999150,1,
seo,2081873,Mar-11,2042235,1,
seo,2118926,Apr-11,2081873,1,
seo,2158564,May-11,2118926,1,
seo,2199064,Jun-11,2158564,1,
seo,2240426,Jul-11,2199064,1,
seo,2326596,Aug-11,2240426,1,
seo,2367096,Sep-11,2326596,1,
seo,2412766,Oct-11,2367096,1,
seo,2456713,Nov-11,2412766,1,
seo,2491181,Dec-11,2456713,1,
seo,2531681,Jan-12,2491181,1,
seo,2574766,Feb-12,2531681,1,
seo,2617851,Mar-12,2574766,1,
seo,2661798,Apr-12,2617851,1,
seo,2702298,May-12,2661798,1,
